StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
112576,112935,216385,8697,Wo 9801 A,49Sig Peg,,22.87326847,09.83555733,26.8456375838926,521.86,44.10,10.2,5.16,3.01563138542156,F7IV,0.487,25.3086,-7.68981,4.58579,2.864e-05,6.2278e-05,7.436e-06
112827,113186,216735,8717,,50Rho Peg,,22.9204512,08.81609536,86.5800865800866,81.88,29.03,-10,4.91,0.222909921140816,A1V,-0.003,82.16283,-23.85998,13.26956,-1.914e-06,3.6342e-05,1.0472e-05


ANDROMEDA
116219,116584,222107,8961,Wo 9832,16Lam And,,23.62602991,46.45917621,25.8131130614352,159.22,-421.46,6.8,3.81,1.75079808191546,G8III-IV,0.984,17.69675,-1.73816,18.7115,4.4762e-05,1.5623e-05,-3.1289e-05
116266,116631,222173,8965,,17Iot And,,23.63560531,43.26807610,154.083204930663,27.72,-1.21,-1,4.29,-1.64877651599815,B8V,-0.083,111.68626,-10.68712,105.61059,1.847e-06,2.0623e-05,-1.359e-06
116440,116805,222439,8976,,19Kap And,,23.67345605,44.33397776,52.0291363163372,81.33,-18.96,-9,4.15,0.568766916662633,B9IVn,-0.071,37.07941,-3.17762,36.36002,-1.478e-06,2.0715e-05,-9.853e-06
116855,117221,223047,9003,,20Psi And,,23.76723303,46.42029095,401.606425702811,9.05,-6.25,-25,4.97,-3.04900326452132,G5Ib,1.086,276.33874,-16.86047,290.93013,-7.721e-06,1.8123e-05,-2.691e-05
676,677,358,15,,21Alp And,Alpheratz,0.13976888,29.09082805,29.7619047619048,135.68,-162.95,-12,2.07,-0.29830361305078,B9p,-0.038,25.99003,0.95143,14.4701,-1e-08,1.9588e-05,-2.6511e-05
1363,1366,1280,63,,24The And,,0.28487101,38.68167915,77.639751552795,-50.01,-17.90,1,4.61,0.159579315118967,A2V,0.059,60.43946,4.51589,48.5243,6.397e-06,-1.8396e-05,-4.62e-06
1470,1473,1404,68,,25Sig And,,0.3054737,36.78532730,43.271311120727,-66.51,-42.48,-8,4.51,1.32899972739555,A2V,0.054,34.54457,2.76853,25.91166,-9.8e-08,-1.4004e-05,-1.2036e-05
1682,1686,1671,82,,27Rho And,,0.35200719,37.96869954,48.9715964740451,58.32,-39.65,9,5.16,1.71027868875446,F5III,0.442,38.44279,3.55276,30.12883,1.1718e-05,1.4987e-05,-1.757e-06
2906,2912,3369,154,,29Pi  And,,0.61467749,33.71935227,201.207243460765,15.23,-3.56,9,4.34,-2.17821805633334,B5V,-0.123,165.19521,26.81544,111.69525,7.079e-06,1.6198e-05,2.221e-06
3025,3031,3546,163,,30Eps And,,0.64263868,29.31236900,51.7063081695967,-229.41,-254.08,-84,4.34,0.772282348734914,G5III...,0.871,44.44943,7.54964,25.31389,-3.3483e-05,-6.4014e-05,-9.7591e-05
3086,3092,3627,165,,31Del And,,0.65544371,30.86122579,31.0655483069276,115.38,-83.05,-7,3.27,0.808604883428068,K3III...,1.268,26.2754,4.5535,15.93539,-2.7e-06,1.7166e-05,-1.4408e-05
3685,3693,4502,215,,34Zet And,,0.78899727,24.26737703,55.6173526140156,-101.23,-81.89,-24,4.08,0.35394843698605,K1II,1.100,49.62504,10.39881,22.85847,-7.421e-06,-2.9441e-05,-3.0216e-05
3871,3881,4727,226,,35Nu  And,,0.83023048,41.07895474,208.333333333333,22.68,-18.05,-24,4.53,-2.06379381312206,B5V SB,-0.136,153.34768,33.86569,136.8955,-1.1309e-05,2.0959e-05,-2.987e-05
4426,4436,5448,269,,37Mu  And,,0.94586046,38.49925513,41.7885499373172,152.78,36.82,8,3.86,0.754713493067187,A5V,0.130,31.70681,8.01593,26.01355,-5.879e-06,3.0437e-05,1.093e-05
4453,4463,5516,271,,38Eta And,,0.95345215,23.41775997,74.4047619047619,-43.72,-46.06,-10,4.40,0.0419963435890329,G8III-IV,0.940,66.16014,16.8662,29.57085,1.199e-06,-1.5968e-05,-1.9309e-05
5423,5434,6811,335,,42Phi And,,1.15836727,47.24182410,225.733634311512,3.81,-13.02,0,4.26,-2.50798136888465,B7III,0.012,146.25863,45.76602,165.73942,8.738e-06,7.103e-06,-9.672e-06
5436,5447,6860,337,Gl  53.3,43Bet And,Mirach,1.16216599,35.62083048,61.1246943765281,175.59,-112.23,-0.8,2.07,-1.86108350332348,M0IIIvar,1.576,47.40547,14.8855,35.60015,2.257e-06,5.5243e-05,-2.7509e-05
